Latitude,Max Temperature,Humidity,Cloudiness,Wind Speed
37.35,81.05,43,0,9.93
-23.12,69.66,70,22,15.37
43.75,75.0,75,69,13.27
-7.05,70.68,79,76,3.24
58.3,59.0,72,90,14.99
-42.88,46.99,93,75,5.82
19.73,82.4,65,75,8.05
72.79,41.47,83,5,3.04
71.29,35.6,80,90,8.05
64.5,70.0,63,1,10.29
-34.42,45.0,82,2,8.43
22.89,93.99,52,5,17.22
-32.03,51.01,89,4,1.01
51.03,48.99,93,83,3.0
42.6,80.01,79,87,7.02
-17.8,75.2,78,75,12.75
-42.72,52.43,83,90,12.19
22.57,85.48,65,62,10.76
-8.84,71.6,78,90,5.82
-53.15,33.8,74,20,10.29
-21.36,66.2,77,46,4.7
38.42,104.0,10,1,4.7
-38.27,50.92,86,13,3.65
-33.02,56.73,52,65,16.62
-33.87,39.2,93,0,11.41
39.05,68.88,87,30,15.95
32.67,69.01,78,0,4.38
-18.06,49.82,45,0,5.39
34.5,69.01,100,90,4.47
37.1,107.6,12,1,9.17
51.77,75.2,69,79,11.18
66.03,53.33,84,0,6.98
46.43,61.0,83,0,4.14
71.92,67.8,76,68,14.72
-10.62,78.71,88,33,12.71
-22.0,70.66,57,2,5.7
53.25,60.8,87,0,2.24
-22.97,70.47,82,0,23.62
61.99,43.75,87,0,1.57
1.75,74.21,72,75,16.82
55.74,60.8,82,75,5.82
-30.18,56.05,87,100,5.7
63.93,49.62,95,94,7.29
61.28,60.53,77,0,5.73
68.61,46.4,93,75,6.71
-21.2,73.4,78,40,13.87
-33.65,46.0,79,0,16.04
3.07,83.98,75,13,15.95
61.69,62.19,63,70,7.56
-17.86,57.42,98,16,2.8
-21.21,75.2,83,97,6.93
-33.59,51.01,69,42,5.01
-34.43,51.8,50,72,9.17
54.34,60.21,70,100,5.5
30.29,88.0,84,99,4.47
54.3,72.0,66,97,4.85
-23.7,52.0,61,0,4.7
16.18,75.2,69,75,10.29
-0.74,66.99,92,75,1.99
-19.55,78.8,69,20,11.41
-10.45,83.16,75,19,14.41
-20.73,59.0,38,0,21.92
-46.6,47.23,80,99,18.07
38.52,69.73,87,32,12.62
64.89,51.28,87,100,17.54
69.7,50.02,77,62,7.34
-0.6,83.35,79,18,13.82
39.18,72.0,82,75,11.41
49.75,64.4,100,90,11.41
-23.53,66.0,82,90,5.84
5.26,74.1,91,51,8.46
64.38,56.5,51,0,3.24
-54.8,35.6,80,20,18.34
1.17,76.75,87,24,4.9
69.45,51.8,66,20,9.17
-46.19,45.73,92,76,6.2
-24.79,59.45,77,0,7.31
62.46,73.99,49,75,10.29
-12.5,82.0,65,53,8.05
-3.17,73.76,92,31,3.56
67.67,52.0,77,90,19.93
-20.41,69.8,77,40,16.11
